00574200  hex=44bb8000  uint=1153138688  int=1153138688  float=1500.00000
00571808  hex=00000000  uint=0  int=0  float=0.00000000
00571490  hex=3f800000  uint=1065353216  int=1065353216  float=1.00000000
00571948  hex=40000000  uint=1073741824  int=1073741824  float=2.00000000
005b16f0  hex=00000000  uint=0  int=0  float=0.00000000
005b16f4  hex=00000000  uint=0  int=0  float=0.00000000
005b16f8  hex=00000000  uint=0  int=0  float=0.00000000
005b16fc  hex=00000000  uint=0  int=0  float=0.00000000
005b1700  hex=00000000  uint=0  int=0  float=0.00000000
005b1704  hex=00000000  uint=0  int=0  float=0.00000000
005710b8  hex=3f000000  uint=1056964608  int=1056964608  float=0.500000000
005b1918  hex=00000000  uint=0  int=0  float=0.00000000
