phase,step,opportunity_timer,active_timer,active,force_x,force_y,force_z,entry_was_forward,forward_input,forward_x,forward_y,forward_z,disabled
exit,0,0.5,0,0,0,0,0,0,0,0,-1,0,0
press,0,0,0.5,1,0,0,0,0,1,0,-1,0,0
tick,0,0,0.495000005,1,0,-4500,0,0,1,-0,-1,-0,0
tick,1,0,0.49000001,1,0,-4500,0,0,1,-0,-1,-0,0
tick,2,0,0.485000014,1,0,-4500,0,0,1,-0,-1,-0,0
tick,3,0,0.480000019,1,0,-4500,0,0,1,-0,-1,-0,0
tick,4,0,0.475000024,1,0,-4500,0,0,1,-0,-1,-0,0
tick,5,0,0.470000029,1,0,-4500,0,0,1,-0,-1,-0,0
tick,6,0,0.465000033,1,0,-4500,0,0,1,-0,-1,-0,0
tick,7,0,0.460000038,1,0,-4500,0,0,1,-0,-1,-0,0
tick,8,0,0.455000043,1,0,-4500,0,0,1,-0,-1,-0,0
tick,9,0,0.450000048,1,0,-4500,0,0,1,-0,-1,-0,0
tick,10,0,0.445000052,1,0,-4500,0,0,1,-0,-1,-0,0
tick,11,0,0.440000057,1,0,-4500,0,0,1,-0,-1,-0,0
tick,12,0,0.435000062,1,0,-4500,0,0,1,-0,-1,-0,0
tick,13,0,0.430000067,1,0,-4500,0,0,1,-0,-1,-0,0
tick,14,0,0.425000072,1,0,-4500,0,0,1,-0,-1,-0,0
tick,15,0,0.420000076,1,0,-4500,0,0,1,-0,-1,-0,0
tick,16,0,0.415000081,1,0,-4500,0,0,1,-0,-1,-0,0
tick,17,0,0.410000086,1,0,-4500,0,0,1,-0,-1,-0,0
tick,18,0,0.405000091,1,0,-4500,0,0,1,-0,-1,-0,0
tick,19,0,0.400000095,1,0,-4500,0,0,1,-0,-1,-0,0
tick,20,0,0.3950001,1,0,-4500,0,0,1,-0,-1,-0,0
tick,21,0,0.390000105,1,0,-4500,0,0,1,-0,-1,-0,0
tick,22,0,0.38500011,1,0,-4500,0,0,1,-0,-1,-0,0
tick,23,0,0.380000114,1,0,-4500,0,0,1,-0,-1,-0,0
tick,24,0,0.375000119,1,0,-4500,0,0,1,-0,-1,-0,0
tick,25,0,0.370000124,1,0,-4500,0,0,1,-0,-1,-0,0
tick,26,0,0.365000129,1,0,-4500,0,0,1,-0,-1,-0,0
tick,27,0,0.360000134,1,0,-4500,0,0,1,-0,-1,-0,0
tick,28,0,0.355000138,1,0,-4500,0,0,1,-0,-1,-0,0
tick,29,0,0.350000143,1,0,-4500,0,0,1,-0,-1,-0,0
tick,30,0,0.345000148,1,0,-4500,0,0,1,-0,-1,-0,0
tick,31,0,0.340000153,1,0,-4500,0,0,1,-0,-1,-0,0
tick,32,0,0.335000157,1,0,-4500,0,0,1,-0,-1,-0,0
tick,33,0,0.330000162,1,0,-4500,0,0,1,-0,-1,-0,0
tick,34,0,0.325000167,1,0,-4500,0,0,1,-0,-1,-0,0
tick,35,0,0.320000172,1,0,-4500,0,0,1,-0,-1,-0,0
tick,36,0,0.315000176,1,0,-4500,0,0,1,-0,-1,-0,0
tick,37,0,0.310000181,1,0,-4500,0,0,1,-0,-1,-0,0
tick,38,0,0.305000186,1,0,-4500,0,0,1,-0,-1,-0,0
tick,39,0,0.300000191,1,0,-4500,0,0,1,-0,-1,-0,0
tick,40,0,0.295000196,1,0,-4500,0,0,1,-0,-1,-0,0
tick,41,0,0.2900002,1,0,-4500,0,0,1,-0,-1,-0,0
tick,42,0,0.285000205,1,0,-4500,0,0,1,-0,-1,-0,0
tick,43,0,0.28000021,1,0,-4500,0,0,1,-0,-1,-0,0
tick,44,0,0.275000215,1,0,-4500,0,0,1,-0,-1,-0,0
tick,45,0,0.270000219,1,0,-4500,0,0,1,-0,-1,-0,0
tick,46,0,0.265000224,1,0,-4500,0,0,1,-0,-1,-0,0
tick,47,0,0.260000229,1,0,-4500,0,0,1,-0,-1,-0,0
tick,48,0,0.255000234,1,0,-4500,0,0,1,-0,-1,-0,0
tick,49,0,0.250000238,1,0,-4500,0,0,1,-0,-1,-0,0
tick,50,0,0.245000243,1,0,-4500,0,0,1,-0,-1,-0,0
tick,51,0,0.240000248,1,0,-4500,0,0,1,-0,-1,-0,0
tick,52,0,0.235000253,1,0,-4500,0,0,1,-0,-1,-0,0
tick,53,0,0.230000257,1,0,-4500,0,0,1,-0,-1,-0,0
tick,54,0,0.225000262,1,0,-4500,0,0,1,-0,-1,-0,0
tick,55,0,0.220000267,1,0,-4500,0,0,1,-0,-1,-0,0
tick,56,0,0.215000272,1,0,-4500,0,0,1,-0,-1,-0,0
tick,57,0,0.210000277,1,0,-4500,0,0,1,-0,-1,-0,0
tick,58,0,0.205000281,1,0,-4500,0,0,1,-0,-1,-0,0
tick,59,0,0.200000286,1,0,-4500,0,0,1,-0,-1,-0,0
tick,60,0,0.195000291,1,0,-4500,0,0,1,-0,-1,-0,0
tick,61,0,0.190000296,1,0,-4500,0,0,1,-0,-1,-0,0
tick,62,0,0.1850003,1,0,-4500,0,0,1,-0,-1,-0,0
tick,63,0,0.180000305,1,0,-4500,0,0,1,-0,-1,-0,0
tick,64,0,0.17500031,1,0,-4500,0,0,1,-0,-1,-0,0
tick,65,0,0.170000315,1,0,-4500,0,0,1,-0,-1,-0,0
tick,66,0,0.165000319,1,0,-4500,0,0,1,-0,-1,-0,0
tick,67,0,0.160000324,1,0,-4500,0,0,1,-0,-1,-0,0
tick,68,0,0.155000329,1,0,-4500,0,0,1,-0,-1,-0,0
tick,69,0,0.150000334,1,0,-4500,0,0,1,-0,-1,-0,0
tick,70,0,0.145000339,1,0,-4500,0,0,1,-0,-1,-0,0
tick,71,0,0.140000343,1,0,-4500,0,0,1,-0,-1,-0,0
tick,72,0,0.135000348,1,0,-4500,0,0,1,-0,-1,-0,0
tick,73,0,0.130000353,1,0,-4500,0,0,1,-0,-1,-0,0
tick,74,0,0.125000358,1,0,-4500,0,0,1,-0,-1,-0,0
tick,75,0,0.120000355,1,0,-4500,0,0,1,-0,-1,-0,0
tick,76,0,0.115000352,1,0,-4500,0,0,1,-0,-1,-0,0
tick,77,0,0.11000035,1,0,-4500,0,0,1,-0,-1,-0,0
