scenario,step,force_x,force_y,force_z,torque_x,torque_y,torque_z,drift_input,slip,trigger,trigger_timer,linger_timer,steer_angle
grip_turn,0,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,1,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,2,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,3,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,4,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,5,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,6,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,7,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,8,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,9,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,10,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,11,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,12,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,13,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,14,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,15,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,16,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,17,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,18,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
grip_turn,19,439.080139,0,0,0,-4.39080143,219.54007,0,0,0,0,0,0.0896081924
drift_release,0,-42.7605705,0,0,0,0,21.3802853,1,0,1,0.100000001,0.200000003,0.0896081924
drift_release,1,-42.7605705,0,0,0,0,21.3802853,1,0,1,0.0949999988,0.200000003,0.0896081924
drift_release,2,-42.7605705,0,0,0,0,21.3802853,1,0,1,0.0899999961,0.200000003,0.0896081924
drift_release,3,-42.7605705,0,0,0,0,21.3802853,1,0,1,0.0849999934,0.200000003,0.0896081924
drift_release,4,-42.7605705,0,0,0,0,21.3802853,1,0,1,0.0799999908,0.200000003,0.0896081924
