step,steer,drift,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,omega_x,omega_y,omega_z,q_w,q_x,q_y,q_z,drift_input,slip,trigger,trigger_timer,linger_timer
0,0,0,0,-0.0999349952,0,0,-19.9869995,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,-0.199805066,0,0,-19.9740143,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,0,-0.299610287,0,0,-19.9610443,0,0,0,0,1,0,0,0,0,0,0,0,0
3,0,0,0,-0.399350733,0,0,-19.9480896,0,0,0,0,1,0,0,0,0,0,0,0,0
4,0,0,0,-0.499026477,0,0,-19.9351501,0,0,0,0,1,0,0,0,0,0,0,0,0
5,0,0,0,-0.598637581,0,0,-19.922224,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,-0.698184133,0,0,-19.9093132,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,-0.797666192,0,0,-19.8964176,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,-0.897083879,0,0,-19.8835373,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,-0.996437252,0,0,-19.8706703,0,0,0,0,1,0,0,0,0,0,0,0,0
10,0,0,0,-1.09572637,0,0,-19.8578186,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,-1.1949513,0,0,-19.8449821,0,0,0,0,1,0,0,0,0,0,0,0,0
12,0,0,0,-1.29411209,0,0,-19.832159,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,0,0,-1.39320886,0,0,-19.8193512,0,0,0,0,1,0,0,0,0,0,0,0,0
14,0,0,0,-1.49224162,0,0,-19.8065586,0,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,-1.59121048,0,0,-19.7937794,0,0,0,0,1,0,0,0,0,0,0,0,0
16,0,0,0,-1.69011557,0,0,-19.7810154,0,0,0,0,1,0,0,0,0,0,0,0,0
17,0,0,0,-1.78895688,0,0,-19.7682667,0,0,0,0,1,0,0,0,0,0,0,0,0
18,0,0,0,-1.88773453,0,0,-19.7555313,0,0,0,0,1,0,0,0,0,0,0,0,0
19,0,0,0,-1.98644853,0,0,-19.7428112,0,0,0,0,1,0,0,0,0,0,0,0,0
20,0,0,0,-2.08509898,0,0,-19.7301044,0,0,0,0,1,0,0,0,0,0,0,0,0
21,0,0,0,-2.18368602,0,0,-19.7174129,0,0,0,0,1,0,0,0,0,0,0,0,0
22,0,0,0,-2.28220963,0,0,-19.7047367,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0,0,0,-2.38067007,0,0,-19.6920738,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,-2.47906709,0,0,-19.6794262,0,0,0,0,1,0,0,0,0,0,0,0,0
25,0,0,0,-2.57740116,0,0,-19.6667919,0,0,0,0,1,0,0,0,0,0,0,0,0
26,0,0,0,-2.67567205,0,0,-19.6541729,0,0,0,0,1,0,0,0,0,0,0,0,0
