005781c0  hex=004d6e60  uint=5074528  int=5074528  float=7.11092829e-39
005781c4  hex=004d6d10  uint=5074192  int=5074192  float=7.11045746e-39
005781c8  hex=004d6e00  uint=5074432  int=5074432  float=7.11079377e-39
005781cc  hex=00000000  uint=0  int=0  float=0.00000000
005781d0  hex=0059317c  uint=5845372  int=5845372  float=8.19111081e-39
005781d4  hex=004d72a0  uint=5075616  int=5075616  float=7.11245291e-39
005781d8  hex=004b4940  uint=4933952  int=4933952  float=6.91393936e-39
005781dc  hex=004b4940  uint=4933952  int=4933952  float=6.91393936e-39
005781e0  hex=004b4940  uint=4933952  int=4933952  float=6.91393936e-39
005781e4  hex=004b4940  uint=4933952  int=4933952  float=6.91393936e-39
005781e8  hex=00479d90  uint=4693392  int=4693392  float=6.57684300e-39
005781ec  hex=004d70f0  uint=5075184  int=5075184  float=7.11184755e-39
005781f0  hex=004d6f70  uint=5074800  int=5074800  float=7.11130945e-39
005781f4  hex=004df3c0  uint=5108672  int=5108672  float=7.15877423e-39
005781f8  hex=004d7050  uint=5075024  int=5075024  float=7.11162334e-39
005781fc  hex=004d7070  uint=5075056  int=5075056  float=7.11166818e-39
00578200  hex=004d7080  uint=5075072  int=5075072  float=7.11169060e-39
00578204  hex=004d70a0  uint=5075104  int=5075104  float=7.11173544e-39
00578208  hex=004d70c0  uint=5075136  int=5075136  float=7.11178028e-39
0057820c  hex=0049e800  uint=4843520  int=4843520  float=6.78721714e-39
00578210  hex=004a1ac0  uint=4856512  int=4856512  float=6.80542281e-39
00578214  hex=004d6f90  uint=5074832  int=5074832  float=7.11135429e-39
00578218  hex=66667542  uint=1717990722  int=1717990722  float=2.72076829e+23
0057821c  hex=64657265  uint=1684370021  int=1684370021  float=1.69301896e+22
00578220  hex=72756f53  uint=1920298835  int=1920298835  float=4.86133825e+30
